n,	T1(n),	Nº de Chamadas Recursivas,	T2(n),	Nº de Chamadas Recursivas,	T3(n),	Nº de Chamadas Recursivas
0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 0, 1, 0
2, 2, 1, 2, 0, 2, 0
3, 4, 2, 5, 2, 5, 1
4, 5, 2, 7, 2, 7, 2
5, 6, 2, 8, 2, 8, 2
6, 8, 2, 10, 2, 10, 1
7, 9, 2, 14, 4, 14, 3
8, 10, 2, 15, 4, 15, 3
9, 13, 3, 19, 6, 19, 2
10, 14, 3, 22, 6, 22, 5
11, 15, 3, 23, 6, 23, 5
12, 17, 3, 26, 6, 26, 3
13, 18, 3, 28, 6, 28, 6
14, 19, 3, 29, 6, 29, 6
15, 21, 3, 31, 6, 31, 3
16, 22, 3, 34, 6, 34, 5
17, 23, 3, 35, 6, 35, 5
18, 26, 3, 38, 6, 38, 2
19, 27, 3, 43, 8, 43, 6
20, 28, 3, 44, 8, 44, 6
21, 30, 3, 49, 10, 49, 4
22, 31, 3, 51, 10, 51, 8
23, 32, 3, 52, 10, 52, 8
24, 34, 3, 54, 10, 54, 4
25, 35, 3, 59, 12, 59, 7
26, 36, 3, 60, 12, 60, 7
27, 40, 4, 65, 14, 65, 3
28, 41, 4, 69, 14, 69, 9
29, 42, 4, 70, 14, 70, 9
30, 44, 4, 74, 14, 74, 6
31, 45, 4, 76, 14, 76, 12
32, 46, 4, 77, 14, 77, 12
33, 48, 4, 79, 14, 79, 6
34, 49, 4, 83, 14, 83, 10
35, 50, 4, 84, 14, 84, 10
36, 53, 4, 88, 14, 88, 4
37, 54, 4, 91, 14, 91, 11
38, 55, 4, 92, 14, 92, 11
39, 57, 4, 95, 14, 95, 7
40, 58, 4, 97, 14, 97, 14
41, 59, 4, 98, 14, 98, 14
42, 61, 4, 100, 14, 100, 7
43, 62, 4, 103, 14, 103, 11
44, 63, 4, 104, 14, 104, 11
45, 66, 4, 107, 14, 107, 4
46, 67, 4, 111, 14, 111, 10
47, 68, 4, 112, 14, 112, 10
48, 70, 4, 116, 14, 116, 6
49, 71, 4, 118, 14, 118, 12
50, 72, 4, 119, 14, 119, 12
51, 74, 4, 121, 14, 121, 6
52, 75, 4, 125, 14, 125, 9
53, 76, 4, 126, 14, 126, 9
54, 80, 4, 130, 14, 130, 3
55, 81, 4, 136, 16, 136, 10
56, 82, 4, 137, 16, 137, 10
57, 84, 4, 143, 18, 143, 7
58, 85, 4, 145, 18, 145, 14

